url,price,year,name,ID,Marca,Modelo,Versión,Año,Cilindrada,Kilómetros,Puertas,Tipo de combustible,Placa
https://articulo.tucarro.com.co/MCO-553486370-mercedes-benz-c250-amg-_JM#position=21&type=item&tracking_id=9118946b-ab9a-470a-a8a6-89f40ae4e772,75.000.000,2012 | 63000 km,Mercedes-benz Clase C C250 Amg,MCO553486370,Mercedes-Benz,Clase C,C250 AMG,2012,2000 cc,63.000 km,4,Gasolina,******
https://articulo.tucarro.com.co/MCO-554376672-c180-full-perfecto-estado-poco-kilometraje-_JM#position=22&type=item&tracking_id=9118946b-ab9a-470a-a8a6-89f40ae4e772,73.000.000,2015 | 33000 km,Mercedes-benz Clase C C180,MCO554376672,Mercedes-Benz,Clase C,C180,2015,,33.000 km,4,Gasolina,xxx004
https://articulo.tucarro.com.co/MCO-553380376-mercedes-benz-c43-amg-4-matic-30-_JM#position=23&type=item&tracking_id=9118946b-ab9a-470a-a8a6-89f40ae4e772,214.000.000,2019 | 4290 km,Mercedes-benz Clase C C43 Amg 4 Matic 3.0,MCO553380376,Mercedes-Benz,Clase C,C43 AMG 4 MATIC 3.0,2019,3 cc,4.290 km,4,Gasolina,GBR912
https://articulo.tucarro.com.co/MCO-554197748-mercedes-benz-c-200-exclusive-cgi-17000-kms-_JM#position=24&type=item&tracking_id=9118946b-ab9a-470a-a8a6-89f40ae4e772,110.000.000,2018 | 17460 km,Mercedes-benz Clase C C200 Exclusive Cgi,MCO554197748,Mercedes-Benz,Clase C,C200 EXCLUSIVE CGI,2018,2000 cc,17.460 km,4,Gasolina,EDY749
https://articulo.tucarro.com.co/MCO-551331579-mercedes-benz-clase-c-180-1962-_JM#position=25&type=item&tracking_id=9118946b-ab9a-470a-a8a6-89f40ae4e772,25.000.000,1962 | 96000 km,Mercedes-benz Clase C 180c,MCO551331579,Mercedes-Benz,Clase C,180C,1962,1800 cc,96.000 km,4,Gasolina,ACC558
https://articulo.tucarro.com.co/MCO-554452653-mercedes-c180-1600-turbo-2015-_JM#position=26&type=item&tracking_id=9118946b-ab9a-470a-a8a6-89f40ae4e772,69.000.000,2015 | 56200 km,Mercedes-benz Clase C 1.6turbo,MCO554452653,Mercedes-Benz,Clase C,1.6Turbo,2015,1600 cc,56.200 km,4,Gasolina,ICS732
https://articulo.tucarro.com.co/MCO-551384939-mercedes-benz-c63-s-_JM#position=27&type=item&tracking_id=9118946b-ab9a-470a-a8a6-89f40ae4e772,275.000.000,2017 | 9500 km,Mercedes-benz Clase C C63 S,MCO551384939,Mercedes-Benz,Clase C,C63 S,2017,4000 cc,9.500 km,4,Gasolina,DNO256
https://articulo.tucarro.com.co/MCO-553364386-mercedes-benz-c280-sport-edition-2800cc-v6-1999-fe-at-c-280-_JM#position=28&type=item&tracking_id=9118946b-ab9a-470a-a8a6-89f40ae4e772,29.000.000,1999 | 69000 km,Mercedes-benz Clase C C280 Sport Edition V6,MCO553364386,Mercedes-Benz,Clase C,C280 Sport Edition V6,1999,2800 cc,69.000 km,5,Gasolina,CSW120
https://articulo.tucarro.com.co/MCO-547928565-mercedes-c180-cgi-mod-2013-mt-16-turbo-65k-_JM#position=29&type=item&tracking_id=9118946b-ab9a-470a-a8a6-89f40ae4e772,50.500.000,2013 | 66000 km,Mercedes-benz Clase C Mercedes C180 Mt 1.6 Turbo 65k,MCO547928565,Mercedes-Benz,Clase C,Mercedes c180 mt 1.6 Turbo 65k,2013,,66.000 km,5,Gasolina,HCS989
https://articulo.tucarro.com.co/MCO-551496716-mercedez-benz-c-180-modelo-2016-automatico-apenas-14000kms-_JM#position=30&type=item&tracking_id=9118946b-ab9a-470a-a8a6-89f40ae4e772,85.000.000,2016 | 14000 km,Mercedes-benz Clase C C180,MCO551496716,Mercedes-Benz,Clase C,c180,2016,,14.000 km,5,Gasolina,hkp875
https://articulo.tucarro.com.co/MCO-553314896-mercedes-benz-c200-avantgarde-2013-_JM#position=31&type=item&tracking_id=9118946b-ab9a-470a-a8a6-89f40ae4e772,64.500.000,2013 | 36000 km,Mercedes-benz Clase C Avantgarde,MCO553314896,Mercedes-Benz,Clase C,AVANTGARDE,2013,1800 cc,36.000 km,4,Gasolina,H**-**8
https://articulo.tucarro.com.co/MCO-553447548-mercedes-benz-c180-1999-_JM#position=32&type=item&tracking_id=9118946b-ab9a-470a-a8a6-89f40ae4e772,25.000.000,1999 | 102000 km,Mercedes-benz Clase C Alemana,MCO553447548,Mercedes-Benz,Clase C,alemana,1999,,102.000 km,,Gasolina,blb050
https://articulo.tucarro.com.co/MCO-552614508-mercedes-benz-cgi-turbo-_JM#position=33&type=item&tracking_id=9118946b-ab9a-470a-a8a6-89f40ae4e772,44.900.000,2011 | 65000 km,Mercedes-benz Clase C Cgi,MCO552614508,Mercedes-Benz,Clase C,cgi,2011,,65.000 km,4,Gasolina,REI115
